#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
85	fig|6666666.1036479.peg.2671	1041826.FCOL_10525	99.8	1129.4	lysS	COG1190 Lysyl-tRNA synthetase (class II); Belongs to the class-II aminoacyl-tRNA synthetase family.
87	fig|6666666.1036479.peg.2673	1041826.FCOL_10510	99.1	476.9	lipB	Octanoyltransferase; Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate- dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate.
88	fig|6666666.1036479.peg.2674	1041826.FCOL_10505	97.3	428.7	rnhB	Ribonuclease HII; Endonuclease that specifically degrades the RNA of RNA-DNA hybrids.
89	fig|6666666.1036479.peg.2675	1041826.FCOL_10500	99.6	2050.4	AEW86907.1	TonB-dependent receptor plug; COG4771 Outer membrane receptor for ferrienterochelin and colicins.
90	fig|6666666.1036479.peg.2676	1041826.FCOL_10495	97.5	955.3	AEW86906.1	RagB/SusD domain-containing protein.
91	fig|6666666.1036479.peg.2677	1041826.FCOL_10490	90.0	1173.3	AEW86905.1	Hypothetical protein.
92	fig|6666666.1036479.peg.2678	1041826.FCOL_10485	97.6	884.0	AEW86904.1	Cystathionine beta-synthase; COG0031 Cysteine synthase.
93	fig|6666666.1036479.peg.2680	1041826.FCOL_10480	74.8	666.8	AEW86903.1	Hypothetical protein.
94	fig|6666666.1036479.peg.2682	1041826.FCOL_10470	77.4	405.6	AEW86901.1	COG1555 DNA uptake protein and related DNA-binding proteins.
95	fig|6666666.1036479.peg.2683	1041826.FCOL_10465	96.9	768.1	AEW86900.1	COG1960 Acyl-CoA dehydrogenases.
96	fig|6666666.1036479.peg.2684	1041826.FCOL_10460	91.0	805.1	AEW86899.1	COG1231 Monoamine oxidase.
97	fig|6666666.1036479.peg.2686	1041826.FCOL_10450	81.5	478.4	AEW86897.1	Integrase/recombinase XerC; COG4974 Site-specific recombinase XerD; Belongs to the 'phage' integrase family.
98	fig|6666666.1036479.peg.2688	1041826.FCOL_10440	99.5	793.1	tuf	Elongation factor Tu; This protein promotes the GTP-dependent binding of aminoacyl- tRNA to the A-site of ribosomes during protein biosynthesis.
99	fig|6666666.1036479.peg.2692	1041826.FCOL_10420	99.1	434.1	rplA	50S ribosomal protein L1; Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release.
100	fig|6666666.1036479.peg.2695	1041826.FCOL_10405	99.1	2499.9	rpoB	DNA-directed RNA polymerase subunit beta; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.
101	fig|6666666.1036479.peg.2696	1041826.FCOL_10400	98.7	2765.3	rpoC	DNA-directed RNA polymerase subunit beta; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.
102	fig|6666666.1036479.peg.2700	1041826.FCOL_10385	98.7	1056.2	prfC	Peptide chain release factor 3; Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF-1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP. Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. PrfC subfamily.
103	fig|6666666.1036479.peg.2701	1041826.FCOL_10380	89.2	906.7	AEW86883.1	PAS/PAC domain protein; COG0642 Signal transduction histidine kinase.
104	fig|6666666.1036479.peg.2702	1041826.FCOL_10375	98.0	382.9	AEW86882.1	DNA-binding response regulator, LuxR family protein; COG2197 Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain.
105	fig|6666666.1036479.peg.2705	1041826.FCOL_10370	92.4	1138.3	AEW86881.1	Hypothetical protein.
106	fig|6666666.1036479.peg.2706	1041826.FCOL_10365	56.8	1938.3	AEW86880.1	Hypothetical protein.
106	fig|6666666.1036479.peg.2706	1041826.FCOL_10365	23.3	116.3	AEW86880.1	Hypothetical protein.
107	fig|6666666.1036479.peg.2707	1041826.FCOL_10360	98.0	615.9	AEW86879.1	Hypothetical protein.
108	fig|6666666.1036479.peg.2708	1041826.FCOL_10355	92.0	1207.6	AEW86878.1	OmpA family outer membrane protein; COG0297 Glycogen synthase.
109	fig|6666666.1036479.peg.2709	1041826.FCOL_04625	85.9	1103.6	AEW85756.1	COG0760 Parvulin-like peptidyl-prolyl isomerase.
110	fig|6666666.1036479.peg.2710	1041826.FCOL_04630	96.9	842.8	AEW85757.1	COG0760 Parvulin-like peptidyl-prolyl isomerase.
111	fig|6666666.1036479.peg.2711	1041826.FCOL_04635	89.5	933.7	AEW85758.1	Zinc finger SWIM domain-containing protein.
112	fig|6666666.1036479.peg.2712	1041826.FCOL_04640	95.3	590.1	AEW85759.1	COG0714 MoxR-like ATPases.
113	fig|6666666.1036479.peg.2713	1041826.FCOL_04645	98.7	466.1	AEW85760.1	Phospholipase/carboxylesterase; COG4099 Predicted peptidase.
114	fig|6666666.1036479.peg.2714	1041826.FCOL_04650	97.9	1770.7	AEW85761.1	Bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase; COG1049 Aconitase B.
115	fig|6666666.1036479.peg.2717	1041826.FCOL_04690	71.5	528.5	AEW85769.1	Hypothetical protein; COG1388 FOG: LysM repeat.
116	fig|6666666.1036479.peg.2718	1041826.FCOL_04695	89.9	673.3	AEW85770.1	Hypothetical protein.
117	fig|6666666.1036479.peg.2719	1041826.FCOL_04700	96.3	670.2	AEW85771.1	Membrane protein.
118	fig|6666666.1036479.peg.2721	1041826.FCOL_04710	93.3	547.7	AEW85773.1	Esterase; COG2819 Predicted hydrolase of the alpha/beta superfamily.
119	fig|6666666.1036479.peg.2722	1041826.FCOL_04715	99.2	928.3	AEW85774.1	COG0057 Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
120	fig|6666666.1036479.peg.2723	1041826.FCOL_04720	97.6	863.2	AEW85775.1	Protease DegQ precursor; COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain.
121	fig|6666666.1036479.peg.2724	1041826.FCOL_04725	94.6	498.8	dapF	Diaminopimelate epimerase; Catalyzes the stereoinversion of LL-2,6-diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso-DAP), a precursor of L- lysine and an essential component of the bacterial peptidoglycan.
122	fig|6666666.1036479.peg.2726	1041826.FCOL_04735	96.2	651.7	mltG	Hypothetical protein; Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation.
123	fig|6666666.1036479.peg.2727	1041826.FCOL_04740	87.4	383.6	AEW85779.1	Hypothetical protein.
124	fig|6666666.1036479.peg.2728	1041826.FCOL_04745	97.1	469.2	AEW85780.1	Methyltransferase; COG0313 Predicted methyltransferases.
125	fig|6666666.1036479.peg.2730	1041826.FCOL_04755	99.2	924.9	dnaA	Chromosomal replication initiation protein; Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. Belongs to the DnaA family.
126	fig|6666666.1036479.peg.2732	1041826.FCOL_04765	84.0	353.2	AEW85784.1	Hypothetical protein.
127	fig|6666666.1036479.peg.2733	1041826.FCOL_04770	84.6	355.1	AEW85785.1	COG1011 Predicted hydrolase (HAD superfamily).
128	fig|6666666.1036479.peg.2734	1041826.FCOL_04775	85.4	602.1	AEW85786.1	Riboflavin biosynthesis protein RibD; Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'- phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)-pyrimidinedione 5'- phosphate; In the C-terminal section; belongs to the HTP reductase family.
129	fig|6666666.1036479.peg.2736	1041826.FCOL_04785	84.7	431.0	AEW85788.1	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase; COG2890 Methylase of polypeptide chain release factors.
130	fig|6666666.1036479.peg.2737	1041826.FCOL_04790	88.2	697.2	AEW85789.1	ABC transporter permease; COG0577 ABC-type antimicrobial peptide transport system, permease component.
131	fig|6666666.1036479.peg.2738	1041826.FCOL_04795	94.9	883.6	hisS	COG0124 Histidyl-tRNA synthetase.
132	fig|6666666.1036479.peg.2739	1041826.FCOL_04800	94.7	579.3	xerC	Tyrosine recombinase XerD; Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC- XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids.
133	fig|6666666.1036479.peg.2740	1041826.FCOL_04805	91.9	414.1	AEW85792.1	Hypothetical protein.
134	fig|6666666.1036479.peg.2743	1041826.FCOL_04820	88.2	426.8	AEW85795.1	Hypothetical protein; COG0730 Predicted permeases.
135	fig|6666666.1036479.peg.2744	1041826.FCOL_04825	98.9	864.8	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase; Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine; Belongs to the EPSP synthase family. MurA subfamily.
136	fig|6666666.1036479.peg.2745	1041826.FCOL_04830	90.3	402.5	AEW85797.1	Hypothetical protein.
137	fig|6666666.1036479.peg.2748	1041826.FCOL_04845	85.7	1111.3	AEW85800.1	COG0514 Superfamily II DNA helicase.
138	fig|6666666.1036479.peg.2749	1041826.FCOL_04850	88.0	565.8	fmt	methionyl-tRNA formyltransferase; Attaches a formyl group to the free amino group of methionyl- tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus; Belongs to the Fmt family.
139	fig|6666666.1036479.peg.2752	1041826.FCOL_04865	90.3	477.6	AEW85804.1	COG0115 Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase.
140	fig|6666666.1036479.peg.2755	1041826.FCOL_04875	83.4	837.8	AEW85806.1	PAS/PAC sensor signal transduction histidine kinase; COG2202 FOG: PAS/PAC domain.
141	fig|6666666.1036479.peg.2756	1041826.FCOL_04880	96.7	824.7	rny	Phosphodiesterase; Endoribonuclease that initiates mRNA decay.
144	fig|6666666.1036479.peg.2762	1041826.FCOL_04915	93.9	431.8	AEW85810.1	Hypothetical protein.
145	fig|6666666.1036479.peg.2763	1041826.FCOL_04920	98.0	1063.1	AEW85811.1	Lipid ABC transporter permease/ATPase; COG1132 ABC-type multidrug transport system, ATPase and permease components.
146	fig|6666666.1036479.peg.2764	1041826.FCOL_04925	98.3	1134.4	AEW85812.1	Phosphoglucomutase/phosphomannomutase; COG1109 Phosphomannomutase.
147	fig|6666666.1036479.peg.2765	1041826.FCOL_04930	98.1	621.3	AEW85813.1	Glycosyl transferase, group 2 family protein; COG0463 Glycosyltransferases involved in cell wall biogenesis.
148	fig|6666666.1036479.peg.2769	1041826.FCOL_04945	98.7	774.2	AEW85816.1	COG1207 N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains).
149	fig|6666666.1036479.peg.2770	1041826.FCOL_04950	99.6	913.7	AEW85817.1	COG1027 Aspartate ammonia-lyase.
150	fig|6666666.1036479.peg.2771	1041826.FCOL_05225	98.2	870.2	AEW85870.1	MiaB-like tRNA modifying protein; COG0621 2-methylthioadenine synthetase.
151	fig|6666666.1036479.peg.2772	1041826.FCOL_05220	95.2	453.0	AEW85869.1	Hypothetical protein.
152	fig|6666666.1036479.peg.2773	1041826.FCOL_05215	92.9	394.4	AEW85868.1	Hypothetical protein.
153	fig|6666666.1036479.peg.2774	1041826.FCOL_05210	95.4	540.8	AEW85867.1	COG0741 Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains).
154	fig|6666666.1036479.peg.2776	1041826.FCOL_05200	87.9	414.8	AEW85865.1	Hypothetical protein; COG0526 Thiol-disulfide isomerase and thioredoxins.
155	fig|6666666.1036479.peg.2779	1041826.FCOL_05185	97.2	501.5	carB	COG0458 Carbamoylphosphate synthase large subunit (split gene in MJ).
156	fig|6666666.1036479.peg.2780	1041826.FCOL_05185	97.8	1381.7	carB	COG0458 Carbamoylphosphate synthase large subunit (split gene in MJ).
157	fig|6666666.1036479.peg.2781	1041826.FCOL_05175	89.8	1028.1	AEX99659.1	COG0038 Chloride channel protein EriC.
158	fig|6666666.1036479.peg.2782	1041826.FCOL_05170	96.1	417.9	AEW85861.1	Crp/Fnr family transcriptional regulator; COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases.
159	fig|6666666.1036479.peg.2785	1041826.FCOL_05160	92.6	681.8	nhaA	Na+/H+ antiporter NhaA; Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons; Belongs to the NhaA Na(+)/H(+) (TC 2.A.33) antiporter family.
160	fig|6666666.1036479.peg.2786	1041826.FCOL_05155	93.7	612.1	AEW85858.2	Inward rectifier potassium channel Irk; COG1226 Kef-type K+ transport systems, predicted NAD-binding component.
161	fig|6666666.1036479.peg.2789	1041826.FCOL_05140	99.3	559.3	AEW85855.1	Hypothetical protein.
162	fig|6666666.1036479.peg.2791	1041826.FCOL_05130	91.2	636.3	AEW85853.1	COG4222 Uncharacterized protein conserved in bacteria.
163	fig|6666666.1036479.peg.2793	1041826.FCOL_05120	96.5	781.2	AEW85851.1	COG1322 Uncharacterized protein conserved in bacteria.
164	fig|6666666.1036479.peg.2794	1041826.FCOL_05115	92.2	924.9	AEW85850.1	RNA-directed DNA polymerase (Reverse transcriptase); COG3344 Retron-type reverse transcriptase.
165	fig|6666666.1036479.peg.2795	1041826.FCOL_05105	93.7	442.2	AEW85848.1	Hypothetical protein.
166	fig|6666666.1036479.peg.2797	1041826.FCOL_05095	97.4	594.0	AEW85846.1	Acyltransferase; COG3274 Uncharacterized protein conserved in bacteria.
167	fig|6666666.1036479.peg.2798	1041826.FCOL_05090	98.5	493.8	AEW85845.1	ABC transporter-like protein; COG1120 ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components.
168	fig|6666666.1036479.peg.2799	1041826.FCOL_05085	97.6	609.4	AEW85844.1	Iron ABC transporter permease; COG0609 ABC-type Fe3+-siderophore transport system, permease component; Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily.
169	fig|6666666.1036479.peg.2800	1041826.FCOL_05080	94.7	738.0	AEW85843.1	Iron ABC transporter; COG0614 ABC-type Fe3+-hydroxamate transport system, periplasmic component.
170	fig|6666666.1036479.peg.2803	1041826.FCOL_05065	96.3	431.8	AEW85840.1	Hypothetical protein; COG2102 Predicted ATPases of PP-loop superfamily.
171	fig|6666666.1036479.peg.2804	1041826.FCOL_05060	97.9	649.4	AEW85839.1	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase; Catalyzes the synthesis of alpha-ribazole-5'-phosphate from nicotinate mononucleotide (NAMN) and 5,6-dimethylbenzimidazole (DMB).
172	fig|6666666.1036479.peg.2805	1041826.FCOL_05055	94.7	508.8	cobS	adenosylcobinamide-GDP ribazoletransferase; Joins adenosylcobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin). Also synthesizes adenosylcobalamin 5'-phosphate from adenosylcobinamide-GDP and alpha-ribazole 5'- phosphate; Belongs to the CobS family.
173	fig|6666666.1036479.peg.2807	1041826.FCOL_05045	98.4	521.9	AEW85836.1	Hypothetical protein.
174	fig|6666666.1036479.peg.2808	1041826.FCOL_05040	99.2	1225.7	AEW85835.1	COG1629 Outer membrane receptor proteins, mostly Fe transport.
176	fig|6666666.1036479.peg.2815	1041826.FCOL_05010	94.0	438.7	AEW85829.1	Hypothetical protein.
177	fig|6666666.1036479.peg.2816	1041826.FCOL_05005	94.7	1198.3	AEW85828.1	M61 family peptidase; COG3975 Predicted protease with the C-terminal PDZ domain.
178	fig|6666666.1036479.peg.2818	1041826.FCOL_04995	94.5	548.9	AEW85826.1	Sterol desaturase-like protein; COG3000 Sterol desaturase.
179	fig|6666666.1036479.peg.2820	1041826.FCOL_04985	96.9	1003.4	AEW85824.1	COG2509 Uncharacterized FAD-dependent dehydrogenases.
180	fig|6666666.1036479.peg.2824	1041826.FCOL_04965	93.2	609.0	AEW85820.1	COG1482 Phosphomannose isomerase.
181	fig|6666666.1036479.peg.2828	1041826.FCOL_02615	30.4	233.4	AEW85368.1	N-6 DNA methylase; COG0286 Type I restriction-modification system methyltransferase subunit.
182	fig|6666666.1036479.peg.2829	1041826.FCOL_02620	40.0	161.8	AEW85369.1	Restriction modification system DNA specificity domain-containing protein; COG0732 Restriction endonuclease S subunits.
183	fig|6666666.1036479.peg.2831	1041826.FCOL_02625	25.4	168.7	AEW85370.1	COG0610 Type I site-specific restriction-modification system, R (restriction) subunit and related helicases.
187	fig|6666666.1036479.peg.2837	1041826.FCOL_05505	92.1	517.7	AEW85926.1	Hypothetical protein.
189	fig|6666666.1036479.peg.2840	1041826.FCOL_06985	91.6	498.4	AEW86218.1	Hypothetical protein.
190	fig|6666666.1036479.peg.2841	1041826.FCOL_05505	96.7	520.0	AEW85926.1	Hypothetical protein.
191	fig|6666666.1036479.peg.2842	1041826.FCOL_05500	98.0	1773.8	AEW85925.1	Polysaccharide lyase family 8.
193	fig|6666666.1036479.peg.2845	1041826.FCOL_05605	96.9	1466.8	AEW85946.1	COG1629 Outer membrane receptor proteins, mostly Fe transport.
194	fig|6666666.1036479.peg.2846	1041826.FCOL_05610	97.1	2853.2	AEW85947.1	Hypothetical protein.
195	fig|6666666.1036479.peg.2847	1041826.FCOL_05615	97.8	1150.2	argS	COG0018 Arginyl-tRNA synthetase.
